iter	Passed	Remaining
0	183	36508
1	212	20990
2	238	15650
3	268	13145
4	300	11710
5	329	10656
6	358	9876
7	386	9282
8	421	8951
9	459	8732
10	495	8517
11	541	8480
12	585	8423
13	621	8254
14	651	8030
15	688	7920
16	723	7791
17	755	7638
18	791	7536
19	827	7447
20	863	7358
21	898	7272
22	932	7176
23	969	7108
24	1018	7126
25	1057	7077
26	1100	7051
27	1143	7027
28	1182	6971
29	1218	6903
30	1254	6838
31	1297	6811
32	1332	6741
33	1368	6679
34	1407	6637
35	1441	6566
36	1474	6497
37	1513	6451
38	1547	6390
39	1582	6331
40	1619	6281
41	1654	6225
42	1688	6164
43	1723	6112
44	1756	6051
45	1793	6004
46	1826	5944
47	1862	5896
48	1892	5833
49	1927	5781
50	1964	5740
51	1999	5691
52	2033	5640
53	2071	5599
54	2106	5552
55	2145	5517
56	2186	5484
57	2223	5444
58	2260	5402
59	2294	5353
60	2331	5312
61	2363	5259
62	2395	5210
63	2430	5164
64	2465	5120
65	2504	5085
66	2545	5052
67	2577	5003
68	2611	4958
69	2651	4924
70	2682	4873
71	2717	4831
72	2756	4796
73	2789	4749
74	2823	4705
75	2864	4673
76	2898	4629
77	2933	4588
78	2968	4546
79	3004	4507
80	3043	4471
81	3080	4432
82	3115	4392
83	3158	4361
84	3197	4325
85	3238	4292
86	3279	4259
87	3316	4220
88	3354	4183
89	3388	4141
90	3426	4103
91	3459	4060
92	3494	4020
93	3532	3983
94	3571	3947
95	3607	3908
96	3641	3866
97	3678	3828
98	3711	3786
99	3748	3748
100	3784	3709
101	3819	3669
102	3849	3625
103	3884	3585
104	3920	3547
105	3959	3511
106	3997	3474
107	4027	3431
108	4066	3395
109	4111	3363
110	4151	3328
111	4191	3293
112	4231	3258
113	4272	3223
114	4310	3185
115	4345	3147
116	4381	3108
117	4418	3070
118	4451	3030
119	4486	2991
120	4521	2952
121	4556	2913
122	4592	2875
123	4628	2837
124	4663	2798
125	4700	2760
126	4737	2722
127	4772	2684
128	4806	2645
129	4843	2608
130	4885	2573
131	4918	2534
132	4949	2493
133	4989	2457
134	5026	2420
135	5058	2380
136	5097	2343
137	5132	2305
138	5168	2268
139	5208	2232
140	5243	2193
141	5283	2158
142	5326	2123
143	5362	2085
144	5397	2047
145	5430	2008
146	5469	1972
147	5501	1933
148	5538	1895
149	5574	1858
150	5609	1820
151	5640	1781
152	5677	1744
153	5712	1706
154	5747	1668
155	5777	1629
156	5809	1591
157	5847	1554
158	5892	1519
159	5927	1481
160	5966	1445
161	6002	1407
162	6036	1370
163	6071	1332
164	6110	1296
165	6145	1258
166	6183	1221
167	6221	1185
168	6257	1147
169	6296	1111
170	6330	1073
171	6366	1036
172	6405	999
173	6439	962
174	6476	925
175	6512	888
176	6548	850
177	6580	813
178	6614	776
179	6649	738
180	6685	701
181	6719	664
182	6756	627
183	6790	590
184	6826	553
185	6860	516
186	6898	479
187	6936	442
188	6969	405
189	7005	368
190	7041	331
191	7071	294
192	7105	257
193	7141	220
194	7181	184
195	7218	147
196	7249	110
197	7280	73
198	7319	36
199	7354	0
